Date,Price,Open,High,Low,Vol.,Return
1/2/2020,358.4439,388.8018,406.6089,354.0859,,-0.0781
1/1/2020,388.8018,436.7599,453.163,386.8643,,-0.1087
1/12/2019,436.2189,409.1913,443.3378,408.6323,,0.0661
1/11/2019,409.1913,407.5104,423.6549,407.0099,,0.0041
1/10/2019,407.5104,403.6126,417.5896,370.1275,,0.0097
1/9/2019,403.6126,397.0581,437.3462,388.4869,,0.0165
1/8/2019,397.0581,422.4391,422.4391,385.8164,,-0.0601
1/7/2019,422.4391,425.3581,436.7712,410.5644,,-0.0069
1/6/2019,425.3581,407.7638,432.7702,394.8968,,0.0431
1/5/2019,407.7638,446.4518,447.7199,407.0135,,-0.0867
1/4/2019,446.4518,434.1253,458.6667,434.1253,,0.0284
1/3/2019,434.1253,426.3466,440.6232,415.1518,,0.0182
1/2/2019,426.3466,407.8907,431.5452,402.8001,,0.0452
1/1/2019,407.8907,374.3282,415.1157,369.5535,,0.0897
1/12/2018,374.3282,406.5198,422.8652,365.9394,,-0.0792
1/11/2018,406.5197,456.3168,457.8904,400.0247,,-0.1091
1/10/2018,456.3168,486.2795,504.3294,455.3227,,-0.0616
1/9/2018,486.2794,468.6881,488.3528,456.6156,,0.0375
1/8/2018,468.6881,464.8324,471.2727,443.3211,,0.0083
1/7/2018,464.8324,487.4373,487.4373,448.2172,,-0.0464
1/6/2018,487.4372,481.4273,488.372,457.4799,,0.0125
1/5/2018,481.4273,475.7616,497.9823,469.2034,,0.0119
1/4/2018,475.7616,452.9353,479.7343,439.3048,,0.0504
1/3/2018,452.9353,443.3807,457.7705,436.6278,,0.0215
1/2/2018,443.3807,456.533,462.2236,424.5855,,-0.0288
1/1/2018,456.533,442.4357,465.8296,441.5399,,0.0319
1/12/2017,442.4357,424.2574,443.2997,413.7987,,0.0428
1/11/2017,424.2574,415.1419,432.0907,413.1466,,0.022
1/10/2017,415.1419,399.3082,416.1082,390.3713,,0.0397
1/9/2017,399.3082,386.0041,406.126,382.9666,,0.0345
1/8/2017,386.0041,388.0653,390.8692,371.8896,,-0.0053
1/7/2017,388.0653,372.3775,388.445,363.4533,,0.0421
1/6/2017,372.3775,377.8538,380.9227,351.0973,,-0.0145
1/5/2017,377.8538,382.7658,394.9437,361.2262,,-0.0128
1/4/2017,382.7658,388.2245,403.0416,377.162,,-0.0141
1/3/2017,388.2245,402.2199,405.3113,373.873,,-0.0348
1/2/2017,402.2199,395.8302,409.1227,393.9101,,0.0161
1/1/2017,395.8302,398.1954,405.618,388.8276,,-0.006
1/12/2016,398.2039,377.2212,401.9152,376.2132,,0.0556
1/11/2016,377.2212,361.623,379.3302,346.2047,,0.0431
1/10/2016,361.623,364.4711,381.102,361.086,,-0.0078
1/9/2016,364.4711,348.2078,365.8137,341.2348,,0.0467
1/8/2016,348.2078,339.3952,372.0104,329.4018,,0.026
1/7/2016,339.3952,374.0323,376.9073,333.2505,,-0.0926
1/6/2016,374.0323,370.9456,392.2399,362.4692,,0.0083
1/5/2016,370.9456,360.407,374.9962,342.2777,,0.0292
1/4/2016,360.407,323.3931,363.4704,309.0974,,0.1144
1/3/2016,323.4185,303.6298,340.792,300.868,,0.0652
1/2/2016,303.6298,300.668,307.9799,280.2403,,0.0099
1/1/2016,300.6679,313.0684,317.5166,268.4058,,-0.0352
1/12/2015,311.6524,336.1496,339.1603,303.5347,,-0.0729
1/11/2015,336.1496,363.4441,370.3356,331.4841,,-0.0751
1/10/2015,363.4441,359.915,386.118,349.7723,,0.0114
1/9/2015,359.3369,380.848,380.848,354.1561,,-0.0565
1/8/2015,380.848,378.3843,381.1822,334.322,,0.0065
1/7/2015,378.3843,440.6926,440.6926,377.064,,-0.1414
1/6/2015,440.6926,439.0936,450.373,424.0622,,0.0036
1/5/2015,439.0937,445.5848,458.6795,424.082,,-0.0146
1/4/2015,445.5848,396.6491,446.003,395.3987,,0.1234
1/3/2015,396.6492,421.2419,421.3834,383.1626,,-0.0584
1/2/2015,421.2419,389.6819,428.5861,384.5017,,0.081
1/1/2015,389.6819,418.1225,421.5643,372.1627,,-0.068
1/12/2014,418.1225,479.1313,494.2051,415.0947,,-0.1327
1/11/2014,482.1124,539.5063,542.4941,481.0687,,-0.1065
1/10/2014,539.5923,574.678,580.5638,526.9879,,-0.0604
1/9/2014,574.2939,610.3964,610.3964,573.221,,-0.0599
1/8/2014,610.9172,621.3291,623.2529,597.9967,,-0.0173
1/7/2014,621.7026,658.6699,659.9107,620.8398,,-0.056
1/6/2014,658.5723,649.2202,672.5403,643.2384,,0.0138
1/5/2014,649.6324,652.305,660.735,646.4343,,-0.0044
1/4/2014,652.5111,648.6354,663.461,634.5349,,0.0056
1/3/2014,648.857,650.2828,663.4803,636.4564,,-0.0012
1/2/2014,649.6444,621.8761,654.7819,617.6379,,0.044
1/1/2014,622.2558,632.75,635.02,603.56,,-0.0159
1/12/2013,632.2858,620.74,642.59,618.4,,0.0196
1/11/2013,620.117,622.54,626.75,604.63,,-0.0039
1/10/2013,622.5243,632.44,644.09,620.01,,-0.0156
1/9/2013,632.3998,657.44,664.81,628.27,,-0.0375
1/8/2013,657.0511,638.99,675.44,623.15,,0.0288
1/7/2013,638.6382,611.23,654.16,609.29,,0.0447
1/6/2013,611.2961,615.72,637.4,604.57,,-0.0068
1/5/2013,615.4581,621.11,636.32,608.08,,-0.0144
1/4/2013,624.435,652.96,655.95,596.36,,-0.0467
1/3/2013,655.0464,647.06,659.21,637.89,,0.0105
1/2/2013,648.2096,675.94,681.7,646.45,,-0.0402
1/1/2013,675.3659,649.27,677.12,642.36,,0.0445
1/12/2012,646.5846,652.12,657.11,629.74,,-0.0053
1/11/2012,650.0503,637.25,652.36,622.45,,0.0193
1/10/2012,637.7365,663.78,674.77,633.07,,-0.042
1/9/2012,665.7263,680.93,699.13,646.7,,-0.0138
1/8/2012,675.0332,634.66,682.35,628.65,,0.0617
1/7/2012,635.8224,596.57,654.91,590.42,,0.0607
1/6/2012,599.4434,595.27,602.24,555.56,,0.0054
1/5/2012,596.2044,684.22,689.04,594.48,,-0.1295
1/4/2012,684.8785,691.25,702.09,667.98,,-0.0056
1/3/2012,688.7121,703.42,717.45,680.87,,-0.021
1/2/2012,703.4976,662.2,715.77,653.67,,0.0648
1/1/2012,660.6774,650.78,673.52,647.66,,0.0244
1/12/2011,644.9144,658.86,666.42,613.38,,-0.0199
1/11/2011,658.0235,647.09,674.1,627.96,,0.0155
1/10/2011,647.9552,587.59,659.86,572.92,,0.0964
1/9/2011,590.9992,675.5,676.61,583.68,,-0.124
1/8/2011,674.6877,693.3,700.14,614.5795,,-0.0166
1/7/2011,686.0772,663.78,704.7,656.49,,0.0258
1/6/2011,668.8452,708.91,712.23,635.27,,-0.0543
1/5/2011,707.2557,755.84,761.66,658.93,,-0.0679
1/4/2011,758.7948,727.75,762.22,724.27,,0.0457
1/3/2011,725.6232,691.63,731.72,668.47,,0.0503
1/2/2011,690.8462,654.39,709.16,639.98,,0.0543
1/1/2011,655.2648,635.11,657.62,611.81,,0.0371
1/12/2010,631.8311,577.05,633.77,575.42,,0.0972
1/11/2010,575.8382,567.357,610.17,543.93,,0.0207
1/10/2010,564.1603,547.388,577.949,544.909,,0.0331
1/9/2010,546.0645,500.075,547.009,499.223,,0.094
1/8/2010,499.1622,528.865,546.792,489.689,,-0.0489
1/7/2010,524.8087,489.399,524.809,478.843,,0.0598
1/6/2010,495.1775,482.49,520.244,469.847,,0.0143
1/5/2010,488.1933,549.29,555.729,458.563,,-0.1123
1/4/2010,549.9413,534.764,555.196,531.304,,0.0373
1/3/2010,530.1587,522.134,532.85,510.154,,0.0245
1/2/2010,517.4835,486.6,524.593,468.435,,0.0645
1/1/2010,486.145,533.5309,550.379,484.104,,-0.0733
1/12/2009,524.6207,515.659,529.46,484.527,,0.0235
1/11/2009,512.5737,500.328,526.431,490.229,,0.0317
1/10/2009,496.8077,460.63,528.43,447.711,,0.0736
1/9/2009,462.7484,456.418,476.551,435.427,,0.0197
1/8/2009,453.787,463.86,481.217,445.22,,-0.0079
1/7/2009,457.407,454.705,460.67,398.367,,0.016
1/6/2009,450.2168,450.81,480.194,425.534,,0.0162
1/5/2009,443.0531,364.559,444.498,363.567,,0.211
