"Date","Price","Open","High","Low","Vol.","Change %"
"01-02-2001","267.80","267.80","270.90","255.10","400.27K","-0.07%"
"01-01-2001","268.00","273.80","275.00","262.00","488.25K","-2.05%"
"01-12-2000","273.60","273.20","278.50","270.30","343.61K","0.11%"
"01-11-2000","273.30","266.50","273.50","264.50","689.58K","2.59%"
"01-10-2000","266.40","277.30","279.90","263.50","409.41K","-3.79%"
"01-09-2000","276.90","281.90","282.50","271.70","387.21K","-1.84%"
"01-08-2000","282.10","283.40","285.00","275.30","343.57K","-0.39%"
"01-07-2000","283.20","289.70","289.70","277.70","369.66K","-2.85%"
"01-06-2000","291.50","275.40","296.50","274.80","591.35K","6.08%"
"01-05-2000","274.80","274.80","284.00","269.50","475.19K","0.04%"
"01-04-2000","274.70","281.50","291.50","274.00","332.99K","-2.38%"
"01-03-2000","281.40","294.20","296.20","274.80","550.89K","-4.35%"
"01-02-2000","294.20","286.00","326.90","285.00","742.60K","2.80%"
"01-01-2000","286.20","289.50","291.80","280.00","414.02K","-1.17%"
"01-12-1999","289.60","293.00","294.00","276.20","412.23K","-1.16%"
"01-11-1999","293.00","299.70","300.40","288.00","372.59K","-2.43%"
"01-10-1999","300.30","299.10","339.00","287.60","807.28K","0.27%"
"01-09-1999","299.50","257.50","329.00","254.80","987.93K","16.40%"
"01-08-1999","257.30","258.80","264.70","253.80","628.99K","-0.58%"
"01-07-1999","258.80","263.50","264.70","253.20","651.84K","-1.82%"
"01-06-1999","263.60","271.50","272.00","258.50","529.11K","-3.09%"
"01-05-1999","272.00","287.90","291.20","267.90","755.60K","-5.49%"
"01-04-1999","287.80","281.90","289.00","279.10","522.57K","2.09%"
"01-03-1999","281.90","288.00","296.50","278.50","808.88K","-2.22%"
"01-02-1999","288.30","288.50","292.60","285.00","463.83K","0.03%"
"01-01-1999","288.20","289.60","294.30","282.50","610.54K","-0.35%"
"01-12-1998","289.20","295.00","299.50","286.50","474.88K","-2.00%"
"01-11-1998","295.10","294.00","299.10","288.70","485.99K","0.48%"
"01-10-1998","293.70","299.10","306.90","292.00","667.95K","-1.77%"
"01-09-1998","299.00","279.30","302.20","279.30","803.93K","7.21%"
"01-08-1998","278.90","291.00","294.80","273.80","614.54K","-3.99%"
"01-07-1998","290.50","297.80","299.70","289.10","538.02K","-2.55%"
"01-06-1998","298.10","295.40","301.60","285.60","655.72K","1.02%"
"01-05-1998","295.10","308.00","308.50","290.60","630.04K","-4.16%"
"01-04-1998","307.90","303.30","317.00","301.20","669.23K","1.52%"
"01-03-1998","303.30","300.00","306.80","287.30","609.14K","1.07%"
"01-02-1998","300.10","304.60","310.00","291.80","487.86K","-1.48%"
"01-01-1998","304.60","289.40","309.00","277.50","793.75K","5.07%"
"01-12-1997","289.90","298.50","299.10","283.30","509.44K","-2.36%"
"01-11-1997","296.90","312.10","316.90","295.10","534.30K","-4.87%"
"01-10-1997","312.10","336.60","342.10","308.00","847.16K","-7.36%"
"01-09-1997","336.90","327.00","337.90","321.00","701.88K","2.90%"
"01-08-1997","327.40","328.90","333.40","321.00","614.84K","-0.37%"
"01-07-1997","328.60","334.90","335.80","314.60","812.87K","-2.00%"
